year,stage,team1,score1,score2,team2,venue,city,country,date,notes
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,16-06-1938,
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,19-06-1938,
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,19-06-1938,
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,24-06-1950,
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,29-06-1950,Greatest WC upset ever
1950,Final Round,Brazil,7,1,Sweden,Estádio do Maracanã,Rio de Janeiro,Brazil,09-07-1950,
1950,Final Round,Uruguay,3,2,Sweden,Estádio do Maracanã,São Paulo,Brazil,09-07-1950,
1950,Final Round,Uruguay,2,1,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,16-07-1950,Maracanazo
1954,Group Stage,Hungary,9,0,South Korea,Hardturm,Zürich,Switzerland,17-06-1954,
1954,Group Stage,West Germany,3,8,Hungary,Wankdorf,Bern,Switzerland,20-06-1954,
1954,Quarter-final,Austria,7,5,Switzerland,Hardturm,Lausanne,Switzerland,26-06-1954,Highest scoring WC match ever
1954,Semi-final,West Germany,6,1,Austria,Wankdorf,Basel,Switzerland,30-06-1954,
1954,Semi-final,Hungary,4,2,Uruguay,Stade Olympique,Lausanne,Switzerland,30-06-1954,
1954,3rd Place,Austria,3,1,Uruguay,Hardturm,Zürich,Switzerland,03-07-1954,
1954,Final,West Germany,3,2,Hungary,Wankdorf,Bern,Switzerland,04-07-1954,Miracle of Bern
1958,Group Stage,Brazil,3,0,Austria,Ryavallen,Borås,Sweden,08-06-1958,
1958,Group Stage,France,7,3,Paraguay,Idrottsparken,Norrköping,Sweden,08-06-1958,Fontaine hat-trick
1958,Quarter-final,France,4,0,Northern Ireland,Ullevi,Gothenburg,Sweden,19-06-1958,
1958,Semi-final,Brazil,5,2,France,Ullevi,Gothenburg,Sweden,24-06-1958,
1958,Semi-final,Sweden,3,1,West Germany,Ullevi,Gothenburg,Sweden,24-06-1958,
1958,3rd Place,France,6,3,West Germany,Ullevi,Gothenburg,Sweden,28-06-1958,Fontaine scores 4
1958,Final,Brazil,5,2,Sweden,Råsunda,Stockholm,Sweden,29-06-1958,Pelé scores 2 at 17
1962,Group Stage,Soviet Union,2,0,Yugoslavia,Estadio El Teniente,Rancagua,Chile,31-05-1962,
1962,Group Stage,Italy,0,0,Chile,Estadio Nacional,Santiago,Chile,02-06-1962,Battle of Santiago
1962,Quarter-final,Brazil,3,1,England,Estadio Sausalito,Viña del Mar,Chile,10-06-1962,
1962,Semi-final,Brazil,4,2,Chile,Estadio Nacional,Santiago,Chile,13-06-1962,
1962,Semi-final,Czechoslovakia,3,1,Yugoslavia,Estadio El Teniente,Vina del Mar,Chile,13-06-1962,
1962,3rd Place,Chile,1,0,Yugoslavia,Estadio Nacional,Santiago,Chile,16-06-1962,
1962,Final,Brazil,3,1,Czechoslovakia,Estadio Nacional,Santiago,Chile,17-06-1962,
1966,Group Stage,England,0,0,Uruguay,Wembley,London,England,11-07-1966,
1966,Group Stage,North Korea,1,0,Italy,Ayresome Park,Middlesbrough,England,19-07-1966,Biggest WC upset
1966,Quarter-final,North Korea,3,5,Portugal,Goodison Park,Liverpool,England,23-07-1966,Eusébio scores 4
1966,Quarter-final,England,1,0,Argentina,Wembley,London,England,23-07-1966,
1966,Semi-final,England,2,1,Portugal,Wembley,London,England,26-07-1966,
1966,Semi-final,West Germany,2,1,Soviet Union,Goodison Park,Liverpool,England,25-07-1966,
1966,3rd Place,Portugal,2,1,Soviet Union,Wembley,London,England,28-07-1966,
1966,Final,England,4,2,West Germany,Wembley,London,England,30-07-1966,Geoff Hurst hat-trick
1970,Group Stage,Brazil,4,1,Czechoslovakia,Estadio Jalisco,Guadalajara,Mexico,03-06-1970,
1970,Group Stage,West Germany,3,10,Bulgaria,Estadio Nou Camp,León,Mexico,02-06-1970,
1970,Quarter-final,Brazil,4,2,Peru,Estadio Jalisco,Guadalajara,Mexico,14-06-1970,
1970,Quarter-final,West Germany,3,2,England,Estadio Nou Camp,León,Mexico,14-06-1970,AET - England 2-0 up
1970,Semi-final,Italy,4,3,West Germany,Estadio Azteca,Mexico City,Mexico,17-06-1970,Game of the Century AET
1970,Semi-final,Brazil,3,1,Uruguay,Estadio Jalisco,Guadalajara,Mexico,17-06-1970,
1970,3rd Place,West Germany,1,0,Uruguay,Estadio Azteca,Mexico City,Mexico,20-06-1970,
1970,Final,Brazil,4,1,Italy,Estadio Azteca,Mexico City,Mexico,21-06-1970,Brazil keep the Jules Rimet
1974,Group Stage,East Germany,1,0,West Germany,Volksparkstadion,Hamburg,West Germany,22-06-1974,Only time they met
1974,Group Stage,Brazil,0,0,Yugoslavia,Olympiastadion,Berlin,West Germany,18-06-1974,
1974,Semi-final Round,Netherlands,2,0,Brazil,Westfalenstadion,Dortmund,West Germany,03-07-1974,
1974,Semi-final Round,West Germany,1,0,Poland,Olympiastadion,Frankfurt,West Germany,03-07-1974,
1974,3rd Place,Poland,1,0,Brazil,Olympiastadion,Munich,West Germany,06-07-1974,
1974,Final,West Germany,2,1,Netherlands,Olympiastadion,Munich,West Germany,07-07-1974,
1978,Group Stage,Argentina,2,1,Hungary,El Monumental,Buenos Aires,Argentina,02-06-1978,
1978,Group Stage,Italy,1,0,Argentina,El Monumental,Buenos Aires,Argentina,10-06-1978,
1978,Group Stage,Argentina,6,0,Peru,El Monumental,Buenos Aires,Argentina,21-06-1978,Controversial result
1978,3rd Place,Brazil,2,1,Italy,El Monumental,Buenos Aires,Argentina,24-06-1978,
1978,Final,Argentina,3,1,Netherlands,El Monumental,Buenos Aires,Argentina,25-06-1978,AET - Kempes 2
1982,Group Stage,Algeria,2,1,West Germany,El Molinon,Gijón,Spain,16-06-1982,Biggest WC upset 1982
1982,Group Stage,West Germany,1,0,Austria,El Molinon,Gijón,Spain,25-06-1982,Disgrace of Gijón
1982,Group Stage,Brazil,3,1,Argentina,Sarriá,Barcelona,Spain,02-06-1982,
1982,Quarter-final,West Germany,0,0,France,Ramón Sánchez Pizjuán,Seville,Spain,08-07-1982,First WC shootout - Germany win 5-4 pens
1982,Semi-final,Italy,2,0,Poland,Camp Nou,Barcelona,Spain,08-07-1982,
1982,3rd Place,Poland,3,2,France,Estadio Metropolitano,Madrid,Spain,10-07-1982,
1982,Final,Italy,3,1,West Germany,Bernabéu,Madrid,Spain,11-07-1982,Rossi wins Golden Boot
1986,Group Stage,Denmark,6,1,Uruguay,Estadio Neza,Nezahualcóyotl,Mexico,08-06-1986,
1986,Round of 16,Belgium,4,3,Soviet Union,Estadio Jalisco,Guadalajara,Mexico,15-06-1986,AET
1986,Quarter-final,Argentina,2,1,England,Estadio Azteca,Mexico City,Mexico,22-06-1986,Hand of God + Goal of Century
1986,Quarter-final,France,0,0,Brazil,Estadio Jalisco,Guadalajara,Mexico,21-06-1986,France win 4-3 pens
1986,Semi-final,Argentina,2,0,Belgium,Estadio Azteca,Mexico City,Mexico,25-06-1986,Maradona 2 goals
1986,Semi-final,West Germany,2,0,France,Estadio Jalisco,Guadalajara,Mexico,25-06-1986,
1986,3rd Place,France,4,2,Belgium,Estadio Cuauhtémoc,Puebla,Mexico,28-06-1986,
1986,Final,Argentina,3,2,West Germany,Estadio Azteca,Mexico City,Mexico,29-06-1986,Maradona's WC
1990,Group Stage,Argentina,0,1,Cameroon,San Siro,Milan,Italy,08-06-1990,Greatest WC upset 1990
1990,Group Stage,Colombia,1,1,West Germany,Stadio Giuseppe Meazza,Milan,Italy,19-06-1990,Rene Higuita error
1990,Round of 16,Ireland,0,0,Romania,Stadio Luigi Ferraris,Genoa,Italy,25-06-1990,Ireland win 5-4 pens
1990,Quarter-final,West Germany,1,0,Czechoslovakia,Stadio delle Alpi,Turin,Italy,01-07-1990,
1990,Quarter-final,Argentina,0,0,Yugoslavia,Stadio Marc Antonio Bentegodi,Florence,Italy,01-07-1990,Argentina win 3-2 pens
1990,Semi-final,West Germany,1,1,England,Stadio delle Alpi,Turin,Italy,04-07-1990,Germany win 4-3 pens - Gazza cries
1990,Semi-final,Argentina,1,1,Italy,San Paolo,Naples,Italy,03-07-1990,Argentina win 4-3 pens
1990,3rd Place,Italy,2,1,England,Stadio San Nicola,Bari,Italy,07-07-1990,Schillaci Golden Boot
1990,Final,West Germany,1,0,Argentina,Stadio Olimpico,Rome,Italy,08-07-1990,Penalty - Brehme
1994,Group Stage,Bolivia,0,1,Germany,Pontiac Silverdome,Detroit,USA,17-06-1994,First indoor WC match
1994,Group Stage,Russia,6,1,Cameroon,Stanford Stadium,Palo Alto,USA,28-06-1994,Salenko 5 goals
1994,Group Stage,Brazil,3,0,Russia,Stanford Stadium,Stanford,USA,28-06-1994,
1994,Quarter-final,Brazil,1,0,Netherlands,Cotton Bowl,Dallas,USA,09-07-1994,Bebeto cradle celebration
1994,Semi-final,Brazil,1,0,Sweden,Rose Bowl,Pasadena,USA,13-07-1994,
1994,Semi-final,Italy,2,1,Bulgaria,Giants Stadium,New Jersey,USA,13-07-1994,
1994,3rd Place,Sweden,4,0,Bulgaria,Rose Bowl,Pasadena,USA,16-07-1994,
1994,Final,Brazil,0,0,Italy,Rose Bowl,Pasadena,USA,17-07-1994,Brazil win 3-2 pens - Baggio misses
1998,Group Stage,Brazil,2,1,Scotland,Stade de France,Saint-Denis,France,10-06-1998,
1998,Group Stage,Nigeria,3,2,Spain,Stade de la Mosson,Montpellier,France,13-06-1998,
1998,Round of 16,Argentina,2,2,England,Stade Geoffroy-Guichard,Saint-Étienne,France,30-06-1998,Beckham sent off - Argentina win 4-3 pens
1998,Round of 16,France,1,0,Paraguay,Félix Bollaert,Lens,France,28-06-1998,AET - Blanc golden goal
1998,Quarter-final,Netherlands,2,1,Argentina,Stade Vélodrome,Marseille,France,04-07-1998,Bergkamp goal of tournament
1998,Quarter-final,France,0,0,Italy,Stade de France,Saint-Denis,France,03-07-1998,France win 4-3 pens
1998,Semi-final,France,2,1,Croatia,Stade de France,Saint-Denis,France,08-07-1998,
1998,Semi-final,Brazil,1,1,Netherlands,Stade Vélodrome,Marseille,France,07-07-1998,Brazil win 4-2 pens
1998,3rd Place,Croatia,2,1,Netherlands,Parc des Princes,Paris,France,11-07-1998,
1998,Final,France,3,0,Brazil,Stade de France,Saint-Denis,France,12-07-1998,Ronaldo fit? France dominate
2002,Group Stage,Senegal,1,0,France,Seoul World Cup Stadium,Seoul,South Korea,31-05-2002,Defending champions out in groups
2002,Group Stage,South Korea,2,0,Portugal,Suwon World Cup Stadium,Suwon,South Korea,14-06-2002,
2002,Round of 16,South Korea,2,1,Italy,Daejeon World Cup Stadium,Daejeon,South Korea,18-06-2002,AET - Ahn golden goal
2002,Quarter-final,South Korea,0,0,Spain,Gwangju World Cup Stadium,Gwangju,South Korea,22-06-2002,South Korea win 5-3 pens
2002,Quarter-final,Brazil,2,1,England,Shizuoka Stadium,Shizuoka,Japan,21-06-2002,Ronaldinho free kick
2002,Semi-final,Brazil,1,0,Turkey,Saitama Stadium,Saitama,Japan,26-06-2002,
2002,Semi-final,Germany,1,0,South Korea,Seoul World Cup Stadium,Seoul,South Korea,25-06-2002,
2002,3rd Place,Turkey,3,2,South Korea,Daegu World Cup Stadium,Daegu,South Korea,29-06-2002,
2002,Final,Brazil,2,0,Germany,Yokohama International,Yokohama,Japan,30-06-2002,Ronaldo 2 goals
2006,Group Stage,Germany,4,2,Costa Rica,Allianz Arena,Munich,Germany,09-06-2006,Opening match
2006,Group Stage,Australia,3,1,Japan,Fritz Walter Stadion,Kaiserslautern,Germany,12-06-2006,
2006,Round of 16,Italy,1,0,Australia,Fritz Walter Stadion,Kaiserslautern,Germany,26-06-2006,AET Totti pen
2006,Round of 16,Portugal,1,0,Netherlands,Allianz Arena,Nuremberg,Germany,25-06-2006,Battle of Nuremberg - 4 red cards
2006,Quarter-final,Italy,3,0,Ukraine,Olympiastadion,Hamburg,Germany,30-06-2006,Toni 2 goals
2006,Quarter-final,Germany,1,1,Argentina,Olympiastadion,Berlin,Germany,30-06-2006,Germany win 4-2 pens
2006,Semi-final,Italy,2,0,Germany,Signal Iduna Park,Dortmund,Germany,04-07-2006,Grosso + Del Piero AET injury time
2006,Semi-final,Portugal,0,1,France,Allianz Arena,Munich,Germany,05-07-2006,Zidane pen
2006,3rd Place,Germany,3,1,Portugal,Gottlieb-Daimler-Stadion,Stuttgart,Germany,08-07-2006,
2006,Final,Italy,1,1,France,Olympiastadion,Berlin,Germany,09-07-2006,Zidane headbutt - Italy win 5-3 pens
2010,Group Stage,South Africa,1,1,Mexico,Soccer City,Johannesburg,South Africa,11-06-2010,First WC in Africa
2010,Group Stage,England,1,1,USA,Royal Bafokeng,Rustenburg,South Africa,12-06-2010,Green howler
2010,Group Stage,Germany,4,0,Australia,Moses Mabhida,Durban,South Africa,13-06-2010,
2010,Round of 16,USA,1,2,Ghana,Royal Bafokeng,Rustenburg,South Africa,26-06-2010,AET
2010,Round of 16,England,1,4,Germany,Free State Stadium,Bloemfontein,South Africa,27-06-2010,Lampard ghost goal
2010,Quarter-final,Argentina,0,4,Germany,Cape Town Stadium,Cape Town,South Africa,03-07-2010,
2010,Quarter-final,Netherlands,2,1,Brazil,Nelson Mandela Bay,Port Elizabeth,South Africa,02-07-2010,Robben goal
2010,Semi-final,Netherlands,3,2,Uruguay,Cape Town Stadium,Cape Town,South Africa,06-07-2010,
2010,Semi-final,Spain,1,0,Germany,Moses Mabhida,Durban,South Africa,07-07-2010,Puyol header
2010,3rd Place,Uruguay,2,3,Germany,Nelson Mandela Bay,Port Elizabeth,South Africa,10-07-2010,Forlan Golden Ball
2010,Final,Spain,1,0,Netherlands,Soccer City,Johannesburg,South Africa,11-07-2010,AET - Iniesta
2014,Group Stage,Brazil,3,1,Croatia,Arena de São Paulo,São Paulo,Brazil,12-06-2014,Opening - OG + Neymar 2
2014,Group Stage,Spain,1,5,Netherlands,Arena Fonte Nova,Salvador,Brazil,13-06-2014,Defending champs thrashed
2014,Group Stage,Uruguay,2,1,England,Arena Corinthians,São Paulo,Brazil,19-06-2014,Suárez 2
2014,Round of 16,Colombia,2,0,Uruguay,Maracanã,Rio de Janeiro,Brazil,28-06-2014,Suárez bites Chiellini
2014,Round of 16,Germany,2,1,Algeria,Estadio Beira-Rio,Porto Alegre,Brazil,30-06-2014,AET
2014,Quarter-final,Argentina,0,0,Belgium,Estadio Nacional,Brasília,Brazil,05-07-2014,Higuaín - Argentina win 1-0
2014,Quarter-final,Germany,1,0,France,Maracanã,Rio de Janeiro,Brazil,04-07-2014,Hummels header
2014,Semi-final,Brazil,1,7,Germany,Estadio Mineirão,Belo Horizonte,Brazil,08-07-2014,Mineirazo - biggest WC shock
2014,Semi-final,Argentina,0,0,Netherlands,Arena Corinthians,São Paulo,Brazil,09-07-2014,Argentina win 4-2 pens
2014,3rd Place,Brazil,0,3,Netherlands,Estadio Nacional,Brasília,Brazil,12-07-2014,
2014,Final,Germany,1,0,Argentina,Maracanã,Rio de Janeiro,Brazil,13-07-2014,AET - Götze 113th min
2018,Group Stage,Russia,5,0,Saudi Arabia,Luzhniki,Moscow,Russia,14-06-2018,Opening match
2018,Group Stage,Germany,0,1,Mexico,Luzhniki,Moscow,Russia,17-06-2018,Defending champs shocked
2018,Group Stage,Spain,3,3,Portugal,Fisht Olympic,Sochi,Russia,15-06-2018,Ronaldo hat-trick
2018,Round of 16,Argentina,1,3,France,Kazan Arena,Kazan,Russia,30-06-2018,Mbappé double - Pavard screamer
2018,Round of 16,Spain,1,1,Russia,Luzhniki,Moscow,Russia,01-07-2018,Russia win 4-3 pens
2018,Round of 16,Brazil,2,0,Mexico,Samara Arena,Samara,Russia,02-07-2018,Neymar + Firmino
2018,Quarter-final,Russia,2,2,Croatia,Fisht Olympic,Sochi,Russia,07-07-2018,Croatia win 4-3 pens
2018,Quarter-final,Belgium,2,1,Brazil,Kazan Arena,Kazan,Russia,06-07-2018,De Bruyne assist + Chadli goal
2018,Semi-final,France,1,0,Belgium,Saint Petersburg,St Petersburg,Russia,10-07-2018,Umtiti header
2018,Semi-final,Croatia,2,1,England,Luzhniki,Moscow,Russia,11-07-2018,AET - Mandzukic
2018,3rd Place,Belgium,2,0,England,Saint Petersburg,St Petersburg,Russia,14-07-2018,
2018,Final,France,4,2,Croatia,Luzhniki,Moscow,Russia,15-07-2018,Mbappé scores - youngest since Pelé
2022,Group Stage,Qatar,0,2,Ecuador,Al Bayt Stadium,Al Khor,Qatar,20-11-2022,Opening match - Qatar humbled at home
2022,Group Stage,Saudi Arabia,2,1,Argentina,Lusail Stadium,Lusail,Qatar,22-11-2022,Biggest WC upset 2022
2022,Group Stage,Germany,1,2,Japan,Khalifa International,Al Rayyan,Qatar,23-11-2022,
2022,Group Stage,Spain,1,2,Japan,Khalifa International,Al Rayyan,Qatar,01-12-2022,
2022,Group Stage,Germany,4,2,Costa Rica,Al Bayt Stadium,Al Khor,Qatar,01-12-2022,Germany out despite winning
2022,Round of 16,Morocco,0,0,Spain,Education City Stadium,Al Rayyan,Qatar,06-12-2022,Morocco win 3-0 pens
2022,Round of 16,France,3,1,Poland,Al Thumama Stadium,Doha,Qatar,04-12-2022,Mbappé double
2022,Round of 16,Netherlands,3,1,USA,Khalifa International,Al Rayyan,Qatar,03-12-2022,
2022,Quarter-final,Morocco,1,0,Portugal,Al Thumama Stadium,Doha,Qatar,10-12-2022,En-Nesyri - historic
2022,Quarter-final,France,2,1,England,Al Bayt Stadium,Al Khor,Qatar,10-12-2022,Kane pen miss
2022,Semi-final,Argentina,3,0,Croatia,Lusail Stadium,Lusail,Qatar,13-12-2022,Messi pen + Álvarez 2
2022,Semi-final,France,2,0,Morocco,Al Bayt Stadium,Al Khor,Qatar,14-12-2022,
2022,3rd Place,Croatia,2,1,Morocco,Khalifa International,Al Rayyan,Qatar,17-12-2022,
2022,Final,Argentina,3,3,France,Lusail Stadium,Lusail,Qatar,18-12-2022,AET - Argentina win 4-2 pens - GOAT final
